,s1_mean,correction_mean,s1_mean-dt*correction_mean,correlation,d/dt correlation
s1_mean,1.0,0.8029622268789475,0.9780213135003814,-0.3530109968947929,0.42887433047151274
correction_mean,0.8029622268789475,1.0,0.6610389892197006,-0.7264570929314738,0.5604160550243956
s1_mean-dt*correction_mean,0.9780213135003814,0.6610389892197006,1.0,-0.19027980593099933,0.3438703294681826
correlation,-0.3530109968947929,-0.7264570929314738,-0.19027980593099933,1.0,-0.7511614449941718
d/dt correlation,0.42887433047151274,0.5604160550243956,0.3438703294681826,-0.7511614449941718,1.0
