1.0,
0.9961237518819854,
0.9901144400040918,
0.9829102411678623,
0.9729853777462901,
0.9601410035692313,
0.9433856993502471,
0.9245113888956153,
0.9044214352629341,
0.8835782012036196,
0.8623228000979724,
0.8409004513270792,
0.8185480315257139,
0.7957710755989762,
0.7738294070407324,
0.75256805661547,
0.731843518311774,
0.7115688725044995,
0.6915754450779834,
0.6721904677861673,
0.6533389035308544,
0.6354586869214804,
0.6184973824430616,
0.6019696652332157,
0.5860071019468563,
0.5706036098584479,
0.5557649962596203,
0.5415020268618599,
0.5275135565134094,
0.5139823836125187,
0.5011768292292417,
0.4889190531976294,
0.477152787522966,
0.4658076736153366,
0.45466483404027774,
0.4435850926138427,
0.4328919941432983,
0.42269087704600294,
0.41284679407643404,
0.40313693408445994,
0.3938288947327861,
0.38465378609366685,
0.3757460203273787,
0.36709085105004047,
0.35861537569547086,
0.3503149297655879,
0.34234907695895245,
0.3343954715214881,
0.3265381568290726,
0.31879511705219027,
0.3113214544040139,
0.30425235060585665,
0.29733797243206855,
0.2905080425062914,
0.2835745633822726,
0.27662024408535296,
0.26997751776161827,
0.2636304599072499,
0.25743102568005827,
0.2512868489006808,
0.24512278552305006,
0.239072711100329,
0.2332424355117024,
0.22755892082514437,
0.22193401355588624,
0.21638470671280505,
0.21092020142200452,
0.20556008593502348,
0.20035740426231294,
0.19525081536260527,
0.1902185648677795,
0.18530122616137268,
0.18049850065787854,
0.17577272469714694,
0.1711797067329366,
0.1666530435537595,
0.16217615386349898,
0.15784289377706967,
0.1536909857743089,
0.14966481367986337,
0.14565935724081086,
0.14168115212829444,
0.1377558885301972,
0.13402296951662648,
0.13041782531405713,
0.12689906203925788,
0.12343900377948461,
0.12006448598298385,
0.11678306119488746,
0.11361480718843688,
0.11052208956557621,
0.10749047961025959,
0.10454015772755018,
0.10170704625430742,
0.09895918288070919,
0.09629253630689519,
0.09368476994250818,
0.09113882340090267,
0.08869933817823925,
0.08636578948597225,
0.08409412485103733,
