,s1_mean,correction_mean,s1_mean-dt*correction_mean,correlation,d/dt correlation
s1_mean,1.0,0.8451854341644741,0.8999107766400819,0.9987182840578909,0.28353706024751946
correction_mean,0.8451854341644741,1.0,0.527521585116056,0.8704172346726239,-0.2380086825351579
s1_mean-dt*correction_mean,0.8999107766400819,0.527521585116056,1.0,0.8772869942095275,0.6448704299878949
correlation,0.9987182840578909,0.8704172346726239,0.8772869942095275,1.0,0.23807833725314395
d/dt correlation,0.28353706024751946,-0.2380086825351579,0.6448704299878949,0.23807833725314395,1.0
