1.0,
0.9898231097216019,
0.9809922890624255,
0.9692100403496707,
0.9525090417885445,
0.927492952190029,
0.8921594398602157,
0.852707915041685,
0.8167538387724798,
0.7833665248698168,
0.7505132682059926,
0.71674967780275,
0.6816794778593834,
0.6436601344659678,
0.6029351125423437,
0.560889556388371,
0.5183100522616422,
0.4762211495087821,
0.4352664246619259,
0.3962282950667765,
0.3591629830978662,
0.32451003862413785,
0.29202731008245447,
0.26192742827022436,
0.23408143053114508,
0.20837525978851315,
0.18515001259136435,
0.16404807016184925,
0.14493841348770115,
0.12780514342882643,
0.11240581938225569,
0.09863317766183465,
0.08628367801432793,
0.0751678507756467,
0.0654254471997704,
0.056545303025548395,
0.04854150634930657,
0.04146803507083123,
0.03508081298297539,
0.02941163047823515,
0.024237276621184772,
0.019465097898323933,
0.015169659506937768,
0.011221803360081136,
0.007637999882590462,
0.00458231934235852,
0.0013898739489814353,
-0.0015526459481653098,
-0.004399157627017484,
-0.007023735845168625,
-0.009513725778088478,
-0.011863899412392076,
-0.014212511989951609,
-0.016537221103883473,
-0.018787425257195442,
-0.020782927116075222,
-0.02281457492823352,
-0.02466372831844546,
-0.026413436763568797,
-0.027974604045144954,
-0.029435973180643858,
-0.030830269427927656,
-0.03208561523158113,
-0.033118691658845206,
-0.03414762996740954,
-0.03524543803615727,
-0.03609205229972469,
-0.03732268298462275,
-0.03875797258888139,
-0.03972847588064218,
-0.040481636135542697,
-0.04140565823904776,
-0.04217547715156578,
-0.04265514963143887,
-0.04296540236972433,
-0.04347620744176354,
-0.04384773442771147,
-0.044056236546785595,
-0.04434906977149638,
-0.04452462131585283,
-0.044687641501979326,
-0.04488323482260976,
-0.04516135535464362,
-0.045480259162336806,
-0.04585950141730102,
-0.046386854724956766,
-0.04670772773281751,
-0.04683407808008817,
-0.04677559323126734,
-0.04670551756550388,
-0.046410065303907885,
-0.04637208019125974,
-0.04645416503558855,
-0.046802446979658456,
-0.04712001023805188,
-0.04692821747166052,
-0.04651898681638247,
-0.0460488751063031,
-0.045369042525829684,
-0.044796398582136764,
-0.04427123485142637,
-0.04371463222786563,
-0.04311587341403662,
-0.04232892407147502,
-0.041594379999263596,
-0.0407362504470833,
-0.03972348258397123,
-0.03855626827568432,
-0.037416616604134194,
-0.036268529180825446,
-0.03518413327499807,
-0.034255413124622644,
-0.033670638188942136,
-0.03285595331910388,
-0.031932743205932125,
-0.030915173954563866,
-0.029817345396820835,
-0.028322781925993416,
-0.026843168948096904,
-0.025586712939544787,
-0.024365311897418862,
-0.023258288929813804,
-0.02205942583554619,
-0.020905757288650104,
-0.020028419236664406,
-0.019213964624947795,
-0.01852361936336153,
-0.017939111491119125,
-0.01696941945748197,
-0.016576568047476606,
-0.015953078238255487,
-0.014442796431386892,
-0.012252607640895608,
-0.011588039572953582,
-0.011897030220264525,
-0.01155845159255546,
-0.011061221895442801,
-0.010716648626725233,
-0.010718996392684154,
-0.010294202507936312,
-0.0095212889790231,
-0.009092306116240295,
-0.008863548140692108,
-0.008243759022385073,
-0.007855697651333253,
